"MARCA","MODELO","KM","R$","LITROS","DATAINI","DIAS","MEDIAKM/L","PIORKM/L","MELHORKM/L","R$/KM"
"Honda","City 1.5","1952","853,80137","278,23","2013-08-02","76","7,015779","6,422535","10,98052","0,4373983"
"Ford","ECOSPORT XLT 2.0 Aut","1067","586,64788","205,12","2013-08-12","58","5,201833","6,266765","6,869848","0,5498106"
